1	B-QUANTITY
1/2	I-QUANTITY
lbs	B-UNIT
raw	B-NAME
shrimp	I-NAME
,	O
medium	O
sized	O
and	B-STATE
shelled	I-STATE

2	B-QUANTITY
tablespoons	B-UNIT
breadcrumbs	B-NAME
-LRB-	O
optional	O
-RRB-	O

3	B-QUANTITY
cups	B-UNIT
chocolate	B-NAME
ice	I-NAME
cream	I-NAME

1	B-QUANTITY
cup	B-UNIT
butter	B-NAME
,	O
sliced	B-STATE

1/3	B-QUANTITY
cup	B-UNIT
mint	B-NAME
leaf	B-FORM
,	O
coarse	B-STATE
chopped	I-STATE

9	B-QUANTITY
large	B-SIZE
fresh	B-DF
jalapeno	B-NAME
peppers	I-NAME
,	O
diced	B-STATE
-LRB-	O
seed	O
for	O
a	O
milder	O
sauce	O
-RRB-	O

1	O
-2	O
red	B-NAME
chili	I-NAME
pepper	I-NAME
,	O
finely	B-STATE
chopped	I-STATE

3/4	B-QUANTITY
cup	B-UNIT
warm	B-STATE
water	B-NAME
-LRB-	O
about	B-STATE
105	I-STATE
degrees	I-STATE
F	I-STATE
.	O
-RRB-	O

75	B-QUANTITY
g	B-UNIT
unsalted	B-STATE
butter	B-NAME
,	B-STATE
room	I-STATE
temperature	I-STATE

8	B-QUANTITY
ounces	B-UNIT
mushrooms	B-NAME
,	O
rinsed	B-STATE

milk	B-NAME
,	O
enough	O
to	O
cover	O
breadcrumbs	O

2	B-QUANTITY
lbs	B-UNIT
filet	B-NAME
of	I-NAME
beef	I-NAME
,	O
one	B-STATE
piece	O
,	O
well	B-STATE
trimmed	I-STATE

1	B-QUANTITY
tablespoon	B-UNIT
whole	B-NAME
grain	I-NAME
mustard	I-NAME
-LRB-	O
optional	O
-RRB-	O

6	B-QUANTITY
ounces	B-UNIT
diced	B-STATE
onions	B-NAME

2	B-QUANTITY
cups	B-UNIT
coriander	B-NAME
,	O
chopped	B-STATE

2	B-QUANTITY
tablespoons	B-UNIT
Coleman	O
's	O
dry	B-DF
mustard	B-NAME
-LRB-	O
in	O
a	O
yellow	O
tin	O
at	O
grocery	O
stores	O
-RRB-	O

your	O
favorite	O
corn	B-NAME
chips	I-NAME

1	B-QUANTITY
slice	B-UNIT
processed	B-STATE
cheese	B-NAME

8	B-QUANTITY
slices	B-UNIT
first-cut	B-NAME
deli	I-NAME
corned	I-NAME
beef	I-NAME

2	B-QUANTITY
tablespoons	B-UNIT
granulated	B-STATE
garlic	B-NAME
or	O
2	B-QUANTITY
tablespoons	B-UNIT
dried	O
garlic	B-NAME
flakes	O

1/4	B-QUANTITY
cup	B-UNIT
margarita	B-NAME
mix	I-NAME

4	B-QUANTITY
passion	B-NAME
fruit	I-NAME
-LRB-	O
pulp	B-FORM
of	O
-RRB-	O

6	B-QUANTITY
large	B-SIZE
eggs	B-NAME

2	B-QUANTITY
cups	B-UNIT
spinach	B-NAME
leaves	B-FORM
or	O
2	B-QUANTITY
cups	B-UNIT
chard	O
leaves	B-FORM

20	B-QUANTITY
g	B-UNIT
baking	B-NAME
powder	I-NAME

1	B-QUANTITY
cup	B-UNIT
ground	O
blanched	B-NAME
nuts	B-FORM
-LRB-	O
almonds	B-STATE
or	I-STATE
hazelnuts	I-STATE
-RRB-	O

2	B-QUANTITY
eggs	B-NAME
,	O
beat	B-STATE
well	I-STATE

3	B-QUANTITY
-4	O
lemon	B-NAME
grass	I-NAME
root	I-NAME

8	B-QUANTITY
tablespoons	B-UNIT
butter	B-NAME
,	O
room	O
temperature	O
and	O
cut	B-STATE
into	I-STATE
tablespoons	B-UNIT

2	B-QUANTITY
cups	B-UNIT
canned	B-SIZE
chick-peas	B-NAME
,	O
drained	O
,	O
liquid	B-STATE
reserved	I-STATE

1	B-QUANTITY
cup	B-UNIT
chicken	B-NAME
broth	I-NAME
,	O
plus	O
more	O
as	O
needed	O

1	B-QUANTITY
package	B-UNIT
of	O
whole	B-NAME
wheat	I-NAME
wrap	I-NAME

1	B-QUANTITY
1/4	I-QUANTITY
lbs	B-UNIT
ground	B-FORM
lamb	B-NAME
-LRB-	O
or	O
kangaroo	O
-RRB-	O

Tabasco	B-NAME
sauce	I-NAME
,	O
garlic	O
flavor	O
-LRB-	O
to	O
taste	O
-RRB-	O

2	B-QUANTITY
English	B-NAME
muffins	I-NAME
,	O
each	B-STATE
split	I-STATE
in	I-STATE
half	I-STATE

4	B-QUANTITY
tablespoons	B-UNIT
strong	B-STATE
brewed	I-STATE
coffee	B-NAME

1	B-QUANTITY
yellow	B-NAME
pepper	I-NAME
,	O
seeded	B-STATE
and	I-STATE
cut	I-STATE
into	I-STATE
strips	I-STATE

1/4	B-QUANTITY
-	I-QUANTITY
1/3	I-QUANTITY
cup	B-UNIT
coffee	B-NAME
liqueur	I-NAME

1	B-QUANTITY
large	B-SIZE
eggplant	B-NAME
-LRB-	O
sliced	B-STATE
into	I-STATE
1/2	I-STATE
inch	O
,	O
1cm	O
thick	B-STATE
slices	I-STATE
-RRB-	O

4	O
-8	O
slices	B-UNIT
fresh	B-DF
lemon	B-NAME
-LRB-	O
thin	B-STATE
slices	B-UNIT
-RRB-	O

2	B-QUANTITY
lbs	B-UNIT
red	B-NAME
potatoes	I-NAME
-LRB-	O
about	O
2-inch	O
in	O
diameter	O
each	O
-RRB-	O

1/2	B-QUANTITY
teaspoon	B-UNIT
dried	B-DF
fenugreek	B-NAME
leaves	B-FORM
-LRB-	O
powdered	B-STATE
-RRB-	O

4	B-QUANTITY
-6	O
potatoes	B-NAME
,	O
sliced	B-STATE

4	B-QUANTITY
tablespoons	B-UNIT
finely	B-STATE
chopped	I-STATE
candied	B-NAME
citron	I-NAME
peel	I-NAME

3/4	B-QUANTITY
cup	B-UNIT
sun-dried	B-NAME
tomato	O
packed	B-NAME
in	I-NAME
oil	I-NAME
,	O
thinly	B-STATE
sliced	I-STATE

12	B-QUANTITY
pepperoni	B-NAME
slices	I-NAME
,	O
chopped	B-STATE

7	B-QUANTITY
ounces	B-UNIT
chocolate-covered	B-NAME
english	O
toffee	B-NAME
bars	I-NAME
,	O
coarsely	B-STATE
chopped	I-STATE
-LRB-	O
such	O
as	O
5	O
Heath	O
Bars	O
-RRB-	O

6	B-QUANTITY
button	B-NAME
mushrooms	I-NAME
,	O
sliced	B-STATE

1	B-QUANTITY
can	B-UNIT
petite	B-NAME
diced	B-STATE
tomatoes	B-NAME

5	B-QUANTITY
tablespoons	B-UNIT
softened	B-STATE
butter	B-NAME
or	O
5	B-QUANTITY
tablespoons	B-UNIT
margarine	O
,	O
divided	O

4	B-QUANTITY
red	B-NAME
chilies	I-NAME
-LRB-	O
dried	B-DF
-RRB-	O

4	B-QUANTITY
large	B-SIZE
fresh	B-DF
gingerroot	B-NAME

2	B-QUANTITY
dashes	B-UNIT
Tabasco	B-NAME
sauce	I-NAME
-LRB-	O
big	O
splashes	O
-RRB-	O

2	B-QUANTITY
green	B-NAME
chilies	I-NAME
,	O
finely	B-STATE
chopped	I-STATE
-LRB-	O
remove	O
the	O
seeds	O
for	O
less	O
heat	O
-RRB-	O

1	B-QUANTITY
1/2	I-QUANTITY
cups	B-UNIT
caster	B-NAME
sugar	I-NAME

8	B-QUANTITY
ounces	B-UNIT
baby	B-NAME
portabella	I-NAME
mushrooms	I-NAME
,	O
quartered	B-STATE

10	O
-16	O
ounces	B-UNIT
rice	B-NAME
noodles	I-NAME

1	B-QUANTITY
1/2	I-QUANTITY
cups	B-UNIT
honey	B-NAME
-LRB-	O
agave	O
ok	O
-RRB-	O

2	B-QUANTITY
1/2	I-QUANTITY
ml	B-UNIT
coconut	B-NAME
oil	I-NAME

15	B-QUANTITY
ounces	B-UNIT
canned	O
whole	B-NAME
tomatoes	I-NAME

salt	B-NAME
,	O
milled	B-STATE
pepper	I-STATE

1/2	B-QUANTITY
cup	B-UNIT
edamame	B-NAME
,	O
cooked	B-STATE

1	B-QUANTITY
large	B-SIZE
mango	B-NAME
-LRB-	O
peeled	B-STATE
and	I-STATE
cut	I-STATE
into	I-STATE
1/3-inch	I-STATE
wedges	I-STATE
-RRB-	O

1	B-QUANTITY
cup	B-UNIT
bacon	B-NAME
-LRB-	O
fried	B-STATE
crisp	I-STATE
and	I-STATE
chopped	I-STATE
into	I-STATE
small	I-STATE
pieces	I-STATE
-RRB-	O

2	B-QUANTITY
tablespoons	B-UNIT
lowfat	B-NAME
mozzarella	I-NAME
cheese	I-NAME
,	O
shredded	B-STATE

3	B-QUANTITY
green	B-NAME
chilies	I-NAME
,	O
washed	O
,	O
ends	B-STATE
trimmed	I-STATE
and	I-STATE
finely	I-STATE
chop	I-STATE
the	I-STATE
rest	I-STATE
of	I-STATE
the	I-STATE
chillies	O

1	B-QUANTITY
tablespoon	B-UNIT
finely	B-STATE
chopped	I-STATE
parsley	B-NAME
-LRB-	O
optional	O
-RRB-	O

2	B-QUANTITY
medium	B-SIZE
roma	B-NAME
tomatoes	I-NAME
,	O
peeled	B-STATE
and	I-STATE
diced	I-STATE

1	B-QUANTITY
tablespoon	B-UNIT
hot	B-NAME
sauce	I-NAME
-LRB-	O
adjust	B-STATE
to	I-STATE
taste	I-STATE
-RRB-	O

4	B-QUANTITY
1/2	I-QUANTITY
ounces	B-UNIT
arugula	B-NAME

2	B-QUANTITY
cups	B-UNIT
cheddar	B-NAME
cheese	I-NAME
,	O
divided	B-STATE
-LRB-	O
or	O
mixture	O
of	O
your	O
favorite	O
cheeses	O
-RRB-	O

1	B-QUANTITY
small	B-UNIT
Thai	B-NAME
chile	I-NAME
-LRB-	O
or	O
chile	B-NAME
flakes	O
,	O
to	O
taste	O
-RRB-	O

2	B-QUANTITY
tomatoes	B-NAME
-LRB-	O
chopped	B-STATE
-RRB-	O

450	B-QUANTITY
g	B-UNIT
potatoes	B-NAME
,	O
scrubbed	B-STATE
and	I-STATE
sliced	I-STATE

1	B-QUANTITY
tablespoon	B-UNIT
dried	B-DF
parsley	B-NAME
flakes	B-FORM
-LRB-	O
rub	B-STATE
between	I-STATE
fingers	I-STATE
to	I-STATE
waken	I-STATE
flavor	I-STATE
-RRB-	O

2	B-QUANTITY
tablespoons	B-UNIT
